task_id,agv_id,order_id,part_id,from_node,to_node,start_time,end_time,duration,from_x,from_y,from_z,to_x,to_y,to_z,state,task_type,log_id
AGV_TASK_001,AGV_01,O001,O001_P1,Raw,M1,0,2,2,0,0,0,3,0,0,Moving,transport_to_machine,1
AGV_TASK_002,AGV_01,,,M1,Raw,10,12,2,3,0,0,0,0,0,Moving,reposition_to_pickup,2
AGV_TASK_003,AGV_01,O002,O002_P1,Raw,M2,12,14,2,0,0,0,6,0,0,Moving,transport_to_machine,3
AGV_TASK_004,AGV_01,,,M2,Raw,20,22,2,6,0,0,0,0,0,Moving,reposition_to_pickup,4
AGV_TASK_005,AGV_01,O003,O003_P1,Raw,M1,22,24,2,0,0,0,3,0,0,Moving,transport_to_machine,5
AGV_TASK_006,AGV_01,,,M1,Raw,30,32,2,3,0,0,0,0,0,Moving,reposition_to_pickup,6
AGV_TASK_007,AGV_01,O004,O004_P1,Raw,M3,32,34,2,0,0,0,3,0,4,Moving,transport_to_machine,7
AGV_TASK_008,AGV_01,,,M3,M1,62,64,2,3,0,4,3,0,0,Moving,reposition_to_pickup,8
AGV_TASK_009,AGV_01,O001,O001_P1,M1,M3,64,66,2,3,0,0,3,0,4,Moving,transport_between_machines,9
AGV_TASK_010,AGV_01,,,M3,M2,74,76,2,3,0,4,6,0,0,Moving,reposition_to_pickup,10
AGV_TASK_011,AGV_01,O002,O002_P1,M2,M4,76,78,2,6,0,0,6,0,4,Moving,transport_between_machines,11
AGV_TASK_012,AGV_01,,,M4,M3,94,96,2,6,0,4,3,0,4,Moving,reposition_to_pickup,12
AGV_TASK_013,AGV_01,O004,O004_P1,M3,Finished,96,98,2,3,0,4,9,0,2,Moving,final_delivery_to_finished,13
AGV_TASK_014,AGV_01,,,Finished,M1,122,124,2,9,0,2,3,0,0,Moving,reposition_to_pickup,14
AGV_TASK_015,AGV_01,O003,O003_P1,M1,M2,124,126,2,3,0,0,6,0,0,Moving,transport_between_machines,15
AGV_TASK_016,AGV_01,,,M2,M4,138,140,2,6,0,0,6,0,4,Moving,reposition_to_pickup,16
AGV_TASK_017,AGV_01,O002,O002_P1,M4,Finished,140,142,2,6,0,4,9,0,2,Moving,final_delivery_to_finished,17
AGV_TASK_018,AGV_01,,,Finished,M3,154,156,2,9,0,2,3,0,4,Moving,reposition_to_pickup,18
AGV_TASK_019,AGV_01,O001,O001_P1,M3,Finished,156,158,2,3,0,4,9,0,2,Moving,final_delivery_to_finished,19
AGV_TASK_020,AGV_01,,,Finished,M2,186,188,2,9,0,2,6,0,0,Moving,reposition_to_pickup,20
AGV_TASK_021,AGV_01,O003,O003_P1,M2,M4,188,190,2,6,0,0,6,0,4,Moving,transport_between_machines,21
AGV_TASK_022,AGV_01,O003,O003_P1,M4,Finished,250,252,2,6,0,4,9,0,2,Moving,final_delivery_to_finished,22
