scenario_name,order_id,part_id,state,location,start_time,end_time,duration,reason
simevents_stateflow_finaltransport_4m1agv,O001,O001_P1,Released,Raw,0,0,0,order_released
simevents_stateflow_finaltransport_4m1agv,O001,O001_P1,Transporting,M1,0,2,2,transport_to_machine
simevents_stateflow_finaltransport_4m1agv,O001,O001_P1,Processing,M1,2,62,60,tool_wear_process
simevents_stateflow_finaltransport_4m1agv,O001,O001_P1,WaitingTransport,M1,62,64,2,waiting_for_agv
simevents_stateflow_finaltransport_4m1agv,O001,O001_P1,Transporting,M3,64,66,2,transport_between_machines
simevents_stateflow_finaltransport_4m1agv,O001,O001_P1,WaitingProcessing,M3,66,94,28,waiting_for_machine
simevents_stateflow_finaltransport_4m1agv,O001,O001_P1,Processing,M3,94,154,60,normal_process
simevents_stateflow_finaltransport_4m1agv,O001,O001_P1,WaitingTransport,M3,154,156,2,waiting_for_agv
simevents_stateflow_finaltransport_4m1agv,O001,O001_P1,Transporting,Finished,156,158,2,final_delivery_to_finished
simevents_stateflow_finaltransport_4m1agv,O001,O001_P1,Finished,Finished,158,158,0,order_finished
simevents_stateflow_finaltransport_4m1agv,O002,O002_P1,Released,Raw,10,10,0,order_released
simevents_stateflow_finaltransport_4m1agv,O002,O002_P1,WaitingTransport,Raw,10,12,2,waiting_for_agv
simevents_stateflow_finaltransport_4m1agv,O002,O002_P1,Transporting,M2,12,14,2,transport_to_machine
simevents_stateflow_finaltransport_4m1agv,O002,O002_P1,Processing,M2,14,74,60,normal_process
simevents_stateflow_finaltransport_4m1agv,O002,O002_P1,WaitingTransport,M2,74,76,2,waiting_for_agv
simevents_stateflow_finaltransport_4m1agv,O002,O002_P1,Transporting,M4,76,78,2,transport_between_machines
simevents_stateflow_finaltransport_4m1agv,O002,O002_P1,Processing,M4,78,138,60,normal_process
simevents_stateflow_finaltransport_4m1agv,O002,O002_P1,WaitingTransport,M4,138,140,2,waiting_for_agv
simevents_stateflow_finaltransport_4m1agv,O002,O002_P1,Transporting,Finished,140,142,2,final_delivery_to_finished
simevents_stateflow_finaltransport_4m1agv,O002,O002_P1,Finished,Finished,142,142,0,order_finished
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,Released,Raw,20,20,0,order_released
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,WaitingTransport,Raw,20,22,2,waiting_for_agv
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,Transporting,M1,22,24,2,transport_to_machine
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,WaitingProcessing,M1,24,62,38,waiting_for_machine
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,Processing,M1,62,122,60,normal_process
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,WaitingTransport,M1,122,124,2,waiting_for_agv
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,Transporting,M2,124,126,2,transport_between_machines
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,Processing,M2,126,186,60,normal_process
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,WaitingTransport,M2,186,188,2,waiting_for_agv
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,Transporting,M4,188,190,2,transport_between_machines
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,Processing,M4,190,250,60,normal_process
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,Transporting,Finished,250,252,2,final_delivery_to_finished
simevents_stateflow_finaltransport_4m1agv,O003,O003_P1,Finished,Finished,252,252,0,order_finished
simevents_stateflow_finaltransport_4m1agv,O004,O004_P1,Released,Raw,30,30,0,order_released
simevents_stateflow_finaltransport_4m1agv,O004,O004_P1,WaitingTransport,Raw,30,32,2,waiting_for_agv
simevents_stateflow_finaltransport_4m1agv,O004,O004_P1,Transporting,M3,32,34,2,transport_to_machine
simevents_stateflow_finaltransport_4m1agv,O004,O004_P1,Processing,M3,34,94,60,normal_process
simevents_stateflow_finaltransport_4m1agv,O004,O004_P1,WaitingTransport,M3,94,96,2,waiting_for_agv
simevents_stateflow_finaltransport_4m1agv,O004,O004_P1,Transporting,Finished,96,98,2,final_delivery_to_finished
simevents_stateflow_finaltransport_4m1agv,O004,O004_P1,Finished,Finished,98,98,0,order_finished
