scenario_name,resource_type,resource_id,state,order_id,part_id,start_time,end_time,duration,reason
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,O001,O001_P1,0,2,2,transport_to_machine
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Idle,,,2,10,8,no_active_task
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,,,10,12,2,reposition_to_pickup
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,O002,O002_P1,12,14,2,transport_to_machine
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Idle,,,14,20,6,no_active_task
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,,,20,22,2,reposition_to_pickup
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,O003,O003_P1,22,24,2,transport_to_machine
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Idle,,,24,30,6,no_active_task
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,,,30,32,2,reposition_to_pickup
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,O004,O004_P1,32,34,2,transport_to_machine
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Idle,,,34,62,28,no_active_task
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,,,62,64,2,reposition_to_pickup
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,O001,O001_P1,64,66,2,transport_between_machines
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Idle,,,66,74,8,no_active_task
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,,,74,76,2,reposition_to_pickup
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,O002,O002_P1,76,78,2,transport_between_machines
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Idle,,,78,94,16,no_active_task
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,,,94,96,2,reposition_to_pickup
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,O004,O004_P1,96,98,2,final_delivery_to_finished
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Idle,,,98,122,24,no_active_task
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,,,122,124,2,reposition_to_pickup
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,O003,O003_P1,124,126,2,transport_between_machines
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Idle,,,126,138,12,no_active_task
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,,,138,140,2,reposition_to_pickup
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,O002,O002_P1,140,142,2,final_delivery_to_finished
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Idle,,,142,154,12,no_active_task
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,,,154,156,2,reposition_to_pickup
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,O001,O001_P1,156,158,2,final_delivery_to_finished
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Idle,,,158,186,28,no_active_task
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,,,186,188,2,reposition_to_pickup
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,O003,O003_P1,188,190,2,transport_between_machines
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Idle,,,190,250,60,no_active_task
simevents_stateflow_finaltransport_4m1agv,agv,AGV_01,Moving,O003,O003_P1,250,252,2,final_delivery_to_finished
simevents_stateflow_finaltransport_4m1agv,machine,M1,Idle,,,0,2,2,no_active_task
simevents_stateflow_finaltransport_4m1agv,machine,M1,Processing,O001,O001_P1,2,62,60,tool_wear_process
simevents_stateflow_finaltransport_4m1agv,machine,M1,Processing,O003,O003_P1,62,122,60,normal_process
simevents_stateflow_finaltransport_4m1agv,machine,M2,Idle,,,0,14,14,no_active_task
simevents_stateflow_finaltransport_4m1agv,machine,M2,Processing,O002,O002_P1,14,74,60,normal_process
simevents_stateflow_finaltransport_4m1agv,machine,M2,Idle,,,74,126,52,no_active_task
simevents_stateflow_finaltransport_4m1agv,machine,M2,Processing,O003,O003_P1,126,186,60,normal_process
simevents_stateflow_finaltransport_4m1agv,machine,M3,Idle,,,0,34,34,no_active_task
simevents_stateflow_finaltransport_4m1agv,machine,M3,Processing,O004,O004_P1,34,94,60,normal_process
simevents_stateflow_finaltransport_4m1agv,machine,M3,Processing,O001,O001_P1,94,154,60,normal_process
simevents_stateflow_finaltransport_4m1agv,machine,M4,Idle,,,0,78,78,no_active_task
simevents_stateflow_finaltransport_4m1agv,machine,M4,Processing,O002,O002_P1,78,138,60,normal_process
simevents_stateflow_finaltransport_4m1agv,machine,M4,Idle,,,138,190,52,no_active_task
simevents_stateflow_finaltransport_4m1agv,machine,M4,Processing,O003,O003_P1,190,250,60,normal_process
